Region,Order Date ,Total Orders
Central,Jan-20,61
East,Jan-20,24
South,Jan-20,20
West,Jan-20,50
Central,Feb-20,25
East,Feb-20,30
South,Feb-20,7
West,Feb-20,45
Central,Mar-20,64
East,Mar-20,64
South,Mar-20,27
West,Mar-20,83
Central,Apr-20,36
East,Apr-20,64
South,Apr-20,48
West,Apr-20,55
Central,May-20,67
East,May-20,52
South,May-20,45
West,May-20,78
Central,Jun-20,74
East,Jun-20,74
South,Jun-20,50
West,Jun-20,83
Central,Jul-20,39
East,Jul-20,71
South,Jul-20,20
West,Jul-20,60
Central,Aug-20,46
East,Aug-20,47
South,Aug-20,34
West,Aug-20,91
Central,Sep-20,90
East,Sep-20,149
South,Sep-20,64
West,Sep-20,156
Central,Oct-20,67
East,Oct-20,84
South,Oct-20,51
West,Oct-20,96
Central,Nov-20,107
East,Nov-20,129
South,Nov-20,84
West,Nov-20,139
Central,Dec-20,102
East,Dec-20,133
South,Dec-20,68
West,Dec-20,156
